Time,Current,Voltage,Wattage,Power
0.208333333,47.27272727,220,0,104
0.25,42,220,0,92.4
0.291666667,29.09090909,220,0,64
0.333333333,73.27272727,220,0,161.2
0.375,72.18181818,220,0,158.8
0.416666667,67.63636364,220,0,148.8
0.458333333,56.18181818,220,0,123.6
0.5,29.27272727,220,0,64.4
0.541666667,83.45454545,220,0,183.6
0.583333333,37.45454545,220,0,82.4
0.625,30.72727273,220,0,67.6
0.666666667,29.45454545,220,0,64.8
0.708333333,109.2727273,220,0,240.4
0.75,53.63636364,220,0,118
0.791666667,77.27272727,220,0,170
0.833333333,44.54545455,220,0,98
0.875,29.09090909,220,0,64
0.916666667,29.09090909,220,0,64
0.958333333,29.09090909,220,0,64
